gene,default_auc,default_f1,default_recall,default_fpr,default_spec,optimal_c,optimal_auc,optimal_f1,optimal_recall,optimal_fpr,optimal_spec,n_tot,n_benign,n_malign
MMADHC,1.0,1.0,1.0,0.0,1.0,0.02,1.0,1.0,1.0,0.0,1.0,24,22,2
MIP,1.0,1.0,1.0,0.0,1.0,0.02,1.0,1.0,1.0,0.0,1.0,13,7,6
PEX11B,0.9166666666666667,0.888888888888889,1.0,0.0,1.0,0.02,0.9166666666666667,0.888888888888889,1.0,0.0,1.0,10,6,4
GCDH,0.8726190476190474,0.9090909090909091,0.9166666666666666,0.08333333333333337,0.9166666666666666,0.022000000000000002,0.9011904761904761,0.9243697478991596,0.9166666666666666,0.08333333333333337,0.9166666666666666,95,35,60
ARSE,0.8423076923076922,0.6666666666666666,0.8,0.19999999999999996,0.8,0.025000000000000005,0.8615384615384616,0.7272727272727272,0.8,0.19999999999999996,0.8,93,78,15
SLURP1,1.0,1.0,1.0,0.0,1.0,0.02,1.0,1.0,1.0,0.0,1.0,3,1,2
OSGEP,1.0,1.0,1.0,0.0,1.0,0.02,1.0,1.0,1.0,0.0,1.0,13,9,4
PIK3R2,0.927536231884058,0.4444444444444445,1.0,0.0,1.0,0.025000000000000005,0.9456521739130435,0.5161290322580645,1.0,0.0,1.0,146,138,8
MMAB,1.0,1.0,1.0,0.0,1.0,0.02,1.0,1.0,1.0,0.0,1.0,68,56,12
DYM,0.9642857142857143,0.923076923076923,1.0,0.0,1.0,0.02,0.9642857142857143,0.923076923076923,1.0,0.0,1.0,20,14,6
ARSA,0.9727369921596578,0.9782608695652174,0.9782608695652174,0.021739130434782594,0.9782608695652174,0.02,0.9727369921596578,0.9782608695652174,0.967391304347826,0.03260869565217395,0.967391304347826,153,61,92
RPE65,1.0,1.0,1.0,0.0,1.0,0.02,1.0,1.0,1.0,0.0,1.0,53,32,21
PIK3R1,1.0,1.0,1.0,0.0,1.0,0.02,1.0,1.0,1.0,0.0,1.0,47,35,12
COL9A2,0.8539915966386555,0.5,0.75,0.25,0.75,0.024000000000000004,0.8581932773109243,0.5454545454545454,0.75,0.25,0.75,123,119,4
UTP14C,0.9285714285714286,0.3636363636363636,1.0,0.0,1.0,0.021,0.9387755102040816,0.4,1.0,0.0,1.0,102,98,4
MME,1.0,1.0,1.0,0.0,1.0,0.02,1.0,1.0,1.0,0.0,1.0,29,20,9
ENAM,1.0,1.0,1.0,0.0,1.0,0.02,1.0,1.0,1.0,0.0,1.0,23,18,5
ACAD9,0.9459459459459459,0.7499999999999999,1.0,0.0,1.0,0.02,0.9459459459459459,0.7499999999999999,1.0,0.0,1.0,86,74,12
DHX30,0.9952830188679246,0.9090909090909091,1.0,0.0,1.0,0.021,1.0,1.0,1.0,0.0,1.0,111,106,5
ARV1,1.0,1.0,1.0,0.0,1.0,0.02,1.0,1.0,1.0,0.0,1.0,4,3,1
ACADS,0.875,0.9714285714285714,1.0,0.0,1.0,0.02,0.875,0.9714285714285714,1.0,0.0,1.0,42,8,34
PEPD,0.8020833333333333,0.5,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.015999999999999997,0.9479166666666667,0.5454545454545454,0.6666666666666666,0.33333333333333337,0.6666666666666666,51,48,3
DHX37,0.9456521739130435,0.4444444444444445,1.0,0.0,1.0,0.023000000000000003,0.9673913043478262,0.5714285714285715,1.0,0.0,1.0,48,46,2
CCDC114,0.9888888888888888,0.888888888888889,1.0,0.0,1.0,0.02,0.9888888888888888,0.888888888888889,1.0,0.0,1.0,49,45,4
ZAP70,0.9375,0.9333333333333333,0.875,0.125,0.875,0.02,0.9375,0.9333333333333333,0.875,0.125,0.875,51,43,8
MRPS2,1.0,1.0,1.0,0.0,1.0,0.02,1.0,1.0,1.0,0.0,1.0,4,1,3
RBM10,0.8714285714285714,0.6399999999999999,1.0,0.0,1.0,0.021,0.8857142857142858,0.6666666666666666,1.0,0.0,1.0,43,35,8
FOXF1,0.9047619047619048,0.7142857142857143,1.0,0.0,1.0,0.02,0.9047619047619048,0.7142857142857143,1.0,0.0,1.0,26,21,5
BCAP31,0.8888888888888888,0.6,1.0,0.0,1.0,0.02,0.8888888888888888,0.6,1.0,0.0,1.0,21,18,3
ACAD8,0.8888888888888888,0.9,1.0,0.0,1.0,0.02,0.8888888888888888,0.9,1.0,0.0,1.0,18,9,9
FOXC2,0.7043010752688172,0.30769230769230765,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.02,0.7043010752688172,0.30769230769230765,0.3333333333333333,0.6666666666666667,0.33333333333333326,34,31,3
GCH1,0.9583333333333333,0.9508196721311475,1.0,0.0,1.0,0.02,0.9583333333333333,0.9508196721311475,1.0,0.0,1.0,65,36,29
NUBPL,0.96875,0.8,1.0,0.0,1.0,0.02,0.96875,0.8,1.0,0.0,1.0,36,32,4
CHRDL1,0.6083333333333333,0.28571428571428575,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.024000000000000004,0.6583333333333333,0.3333333333333333,0.6666666666666666,0.33333333333333337,0.6666666666666666,23,20,3
PCSK9,0.6573426573426574,0.3137254901960784,0.36363636363636365,0.6363636363636364,0.36363636363636365,0.02,0.6573426573426574,0.3137254901960784,0.3409090909090909,0.6590909090909092,0.34090909090909083,902,858,44
FOXC1,0.9111111111111111,0.8333333333333333,1.0,0.0,1.0,0.025000000000000005,0.9333333333333333,0.8695652173913044,1.0,0.0,1.0,65,45,20
