,Gene,AUC,FPR,Precision,Recall/TPR,F-score,N_benign,N_malign,m_cat,n_snvs
483,SGSH,0.900462962962963,0.07407407407407407,0.9259259259259259,0.9259259259259259,0.9259259259259259,16,27,1,43
484,TGFB2,0.9556962025316456,0.0,0.7586206896551724,1.0,0.8627450980392156,79,22,1,101
485,HLCS,0.9791666666666667,0.0,0.8947368421052632,1.0,0.9444444444444444,48,17,1,65
486,TBL1XR1,0.8571428571428572,0.0,0.5454545454545454,1.0,0.7058823529411764,35,12,1,47
487,PLCE1,0.9852941176470588,0.0,0.6666666666666666,1.0,0.8,34,2,1,36
488,RAB3GAP1,1.0,0.0,1.0,1.0,1.0,38,12,1,50
489,MYL3,0.9857142857142857,0.0,0.9,1.0,0.9473684210526316,35,9,1,44
490,NKX2-1,0.8872549019607843,0.05882352941176472,0.8421052631578947,0.9411764705882353,0.8888888888888888,18,17,1,35
491,SMARCB1,0.9423076923076923,0.0,0.6470588235294118,1.0,0.7857142857142858,52,11,1,63
492,GBA,0.8761904761904762,0.05714285714285716,0.8918918918918919,0.9428571428571428,0.9166666666666667,21,35,1,56
493,EARS2,0.9666666666666667,0.0,0.8888888888888888,1.0,0.9411764705882353,15,8,1,23
494,IQSEC2,0.9336283185840708,0.0,0.6875,1.0,0.8148148148148148,113,33,1,146
495,NPHP4,0.9866071428571428,0.0,0.6666666666666666,1.0,0.8,112,6,1,118
496,ANO5,0.9912280701754386,0.0,0.9743589743589743,1.0,0.9870129870129869,57,38,1,95
497,FKRP,0.9651162790697674,0.0,0.8695652173913043,1.0,0.9302325581395349,43,20,1,63
498,BRAT1,0.9833333333333334,0.0,0.8181818181818182,1.0,0.9,60,9,1,69
499,TBCE,1.0,0.0,1.0,1.0,1.0,37,3,1,40
500,PIGW,1.0,0.0,1.0,1.0,1.0,1,3,1,4
501,RPGRIP1L,0.9810126582278481,0.0,0.8888888888888888,1.0,0.9411764705882353,79,24,1,103
502,PAX3,0.9285714285714286,0.0,0.8333333333333334,1.0,0.9090909090909091,21,15,1,36
503,CTNNB1,0.8552631578947368,0.0,0.7755102040816326,1.0,0.8735632183908045,38,38,1,76
504,COQ4,1.0,0.0,1.0,1.0,1.0,12,5,1,17
505,RBM20,0.9793577981651377,0.0,0.64,1.0,0.7804878048780487,218,16,1,234
506,FAS,0.9761904761904762,0.0,0.8571428571428571,1.0,0.923076923076923,21,6,1,27
507,CUL4B,0.9071428571428571,0.06666666666666665,0.7368421052631579,0.9333333333333333,0.8235294117647058,42,15,1,57
508,PRPS1,0.9285714285714286,0.0,0.7,1.0,0.8235294117647058,21,7,1,28
509,CLCN1,0.9497171590194846,0.046511627906976716,0.9534883720930233,0.9534883720930233,0.9534883720930233,37,43,1,80
510,STAT1,0.9705882352941176,0.0,0.8666666666666667,1.0,0.9285714285714286,34,13,1,47
511,ACSL4,0.875,0.0,0.25,1.0,0.4,12,1,1,13
512,NOTCH2,0.9325842696629214,0.0,0.5384615384615384,1.0,0.7000000000000001,89,14,1,103
513,MMAA,1.0,0.0,1.0,1.0,1.0,21,26,1,47
514,UNC80,0.9761904761904762,0.04761904761904767,1.0,0.9523809523809523,0.975609756097561,12,21,1,33
515,F8,0.8877551020408163,0.0,0.75,1.0,0.8571428571428571,49,33,1,82
516,MYO6,0.9777777777777779,0.0,0.8823529411764706,1.0,0.9375,45,15,1,60
517,IRF6,0.875,0.0,0.8275862068965517,1.0,0.9056603773584906,20,24,1,44
518,TGFBR1,0.9680851063829787,0.0,0.8064516129032258,1.0,0.8928571428571428,94,25,1,119
519,SRD5A3,1.0,0.0,1.0,1.0,1.0,17,6,1,23
520,AVPR2,0.9142857142857143,0.0,0.7391304347826086,1.0,0.85,35,17,1,52
521,PRDM12,0.9500000000000001,0.0,0.6666666666666666,1.0,0.8,10,2,1,12
522,GTPBP3,0.9523809523809523,0.0,0.8181818181818182,1.0,0.9,21,9,1,30
523,ASAH1,1.0,0.0,1.0,1.0,1.0,55,4,1,59
524,TTC37,0.9600000000000001,0.0,0.6666666666666666,1.0,0.8,25,4,1,29
525,KANSL1,0.9688715953307393,0.0,0.5428571428571428,1.0,0.7037037037037037,257,19,1,276
526,GAMT,0.9500000000000001,0.0,0.8,1.0,0.888888888888889,30,12,1,42
527,LIG4,0.9705882352941176,0.0,0.8571428571428571,1.0,0.923076923076923,34,12,1,46
528,SDHA,0.9700740436034555,0.038461538461538436,0.8620689655172413,0.9615384615384616,0.9090909090909091,187,26,1,213
529,GRIN2A,0.9673366834170855,0.0,0.717391304347826,1.0,0.8354430379746834,199,33,1,232
530,TMEM216,0.875,0.125,0.875,0.875,0.875,8,8,1,16
531,KCTD7,0.9864864864864865,0.0,0.9,1.0,0.9473684210526316,37,9,1,46
532,COL4A1,0.9301986513577547,0.032258064516129004,0.6122448979591837,0.967741935483871,0.75,177,31,1,208
533,AP3B1,0.9634146341463415,0.0,0.25,1.0,0.4,41,1,1,42
534,ATP1A2,0.9794520547945206,0.0,0.7777777777777778,1.0,0.8750000000000001,146,21,1,167
535,POC1B,1.0,0.0,1.0,1.0,1.0,12,2,1,14
536,KCNJ11,0.9736842105263158,0.0,0.9583333333333334,1.0,0.9787234042553191,19,23,1,42
537,FGFR1,0.9212989222915484,0.023255813953488413,0.7924528301886793,0.9767441860465116,0.875,82,43,1,125
538,TRPS1,0.9731182795698925,0.0,0.7619047619047619,1.0,0.8648648648648648,93,16,1,109
539,FGF3,1.0,0.0,1.0,1.0,1.0,4,3,1,7
540,NDUFS4,1.0,0.0,1.0,1.0,1.0,14,7,1,21
541,RAG2,1.0,0.0,1.0,1.0,1.0,7,13,1,20
542,SETD5,0.8484848484848485,0.0,0.7142857142857143,1.0,0.8333333333333333,33,25,1,58
543,OTC,0.894345238095238,0.023809523809523836,0.82,0.9761904761904762,0.8913043478260869,48,42,1,90
544,CLCN4,0.8392857142857143,0.0714285714285714,0.7647058823529411,0.9285714285714286,0.8387096774193549,16,14,1,30
545,ALDH5A1,1.0,0.0,1.0,1.0,1.0,42,8,1,50
546,OTOG,0.945,0.08333333333333337,0.7333333333333333,0.9166666666666666,0.8148148148148148,150,12,1,162
547,CLCNKB,0.9716981132075472,0.0,0.7,1.0,0.8235294117647058,53,7,1,60
548,PNPO,0.9130434782608696,0.0,0.7333333333333333,1.0,0.846153846153846,23,11,1,34
549,ACSF3,0.9342403628117913,0.11111111111111116,0.8888888888888888,0.8888888888888888,0.8888888888888888,49,9,1,58
